fold,n_train_subjects,n_test_samples,calibration_sys,calibration_dia,sys_rmse,sys_mae,dia_rmse,dia_mae
S10,182,19,130,76,18.85,12.97,10.5,7.44
S11,184,17,109,76,19.42,14.41,11.4,8.69
S12,189,12,122,87,18.46,13.02,6.54,5.45
S16,181,20,108,72,18.34,15.51,8.26,6.49
S17,182,19,132,77,11.86,10.09,12.67,8.57
S19,182,19,116,78,13.13,10.59,8.16,5.42
S20,182,19,134,85,16.23,11.34,9.27,6.96
S6,182,19,120,79,10.49,9.45,5.71,4.95
S7,182,19,130,78,13.26,10.2,7.31,6.29
S8,182,19,121,85,9.62,6.13,7.81,5.11
S9,182,19,130,74,7.62,5.67,9.99,6.82
